beta	a	b	lmax	sigmaT/((4 pi)/k^2)	DeltasigmaT	delta_lmax	counter
0.001	49999.99999999999	2.0000000000000002e-7	53	1.0715902804354238e-9	0.003631191447534967	-0.000026925084727926447	10
0.001202264434617413	41588.18855513354	2.404528869234826e-7	42	3.544216405018307e-10	0.0054824264667008875	-0.00002078887886152534	10
0.001445439770745928	34591.54854594681	2.8908795414918563e-7	48	7.306067012523539e-10	0.00008412139773534172	-0.000023730653492941623	10
0.0017378008287493763	28771.996866857833	3.475601657498753e-7	53	1.1105582826704706e-9	0.000030401247750391077	-0.000027027913456978176	10
0.0020892961308540386	23931.50461613193	4.1785922617080775e-7	32	2.4624217992887184e-10	0.00001882208105445269	-0.000015990147673254627	10
0.0025118864315095794	19905.358527674867	5.023772863019159e-7	55	9.103262861865402e-10	0.0023654954031238715	-0.00002682941207673773	10
0.003019951720402016	16556.556074129556	6.039903440804033e-7	54	9.598609104155147e-10	0.000029441406202233872	-0.000027251357419478282	10
0.003630780547701014	13771.14351669083	7.261561095402028e-7	44	6.096824826523283e-10	0.001518338168803429	-0.000022020111451828485	10
0.004365158322401661	11454.338263838861	8.730316644803322e-7	66	2.320254687147244e-9	0.0028413789797700232	-0.000032446354622473694	10
0.005248074602497723	9527.303589816242	1.0496149204995447e-6	53	1.0095401962162987e-9	0.00015393316853884708	-0.000026368575064267234	10
0.00630957344480193	7924.4659623055695	1.2619146889603861e-6	39	5.53296343857868e-10	0.00275215835714395	-0.000019661335697424662	10
0.007585775750291836	6591.283692782037	1.5171551500583673e-6	45	6.933946482360014e-10	0.008968742604047649	-0.000022762966476980793	10
0.009120108393559097	5482.390980715925	1.8240216787118195e-6	46	6.130888984504335e-10	0.00969539688539483	-0.000023278252805786907	10
0.01096478196143185	4560.054196779548	2.19295639228637e-6	47	7.345129596939709e-10	0.005163586078554017	-0.000023572127374795672	10
0.013182567385564075	3792.887875145918	2.636513477112815e-6	56	9.90105682706782e-10	0.006734418356214401	-0.00002821435871628614	10
0.015848931924611134	3154.7867224009665	3.169786384922227e-6	34	3.80824578732957e-10	0.0023218386967610123	-0.00001797937142271488	10
0.019054607179632473	2624.0373012488626	3.810921435926495e-6	50	8.725855269030915e-10	0.008630872990469716	-0.000024988016474685225	10
0.022908676527677734	2182.5791612008293	4.581735305535547e-6	42	5.947700350900041e-10	0.0030197715393846165	-0.000021887279833357643	10
0.02754228703338166	1815.390273850507	5.508457406676333e-6	43	4.121784415479095e-10	0.00751079251750198	-0.000021382953357714736	10
0.03311311214825911	1509.975860201008	6.622622429651823e-6	37	4.4256898889227147e-10	0.005462042700846478	-0.00001845798992509848	10
0.039810717055349734	1255.9432157547897	7.962143411069947e-6	47	1.1703241146656536e-9	0.003050745038240523	-0.000023357930450686472	10
0.047863009232263824	1044.64806542702	9.572601846452765e-6	58	1.364511295566656e-9	0.0036446014005548193	-0.000028699773797951374	10
0.057543993733715694	868.9004143746877	0.000011508798746743139	45	5.398704084056084e-10	0.000033337060402492296	-0.00002187955927498362	10
0.06918309709189366	722.7198853729636	0.000013836619418378732	52	8.084889082229911e-10	0.003907832464759939	-0.00002575899208690414	10
0.08317637711026708	601.1322173087066	0.00001663527542205342	40	4.5660386251335214e-10	0.003861711655659258	-0.000020608187101592215	10
0.1	500.	0.00002	45	8.238728863063475e-10	0.003871689349857471	-0.000022779525018976922	10
0.12022644346174131	415.8818855513354	0.000024045288692348264	62	1.5645695418629383e-9	0.0040397672477040835	-0.000031660689996329975	10
0.1445439770745928	345.91548545946813	0.00002890879541491856	57	1.111855637670837e-9	0.009908837814079774	-0.00002912509113386186	10
0.17378008287493762	287.71996866857836	0.00003475601657498753	48	7.471054015211408e-10	0.0067266934616790055	-0.00002440389492990902	10
0.20892961308540386	239.3150461613193	0.00004178592261708078	52	9.858864599930975e-10	0.00014986528907000285	-0.000026101977704019805	10
0.25118864315095796	199.0535852767487	0.000050237728630191596	62	2.0270229392047963e-9	0.009002558506808034	-0.000030815852316201797	10
0.3019951720402016	165.56556074129554	0.00006039903440804032	43	6.083500022162635e-10	0.0011632775195230553	-0.000021772896518014747	10
