beta	a	b	lmax	sigmav/((4 pi)/k^2)	Deltasigmav	delta_lmax	counter
0.001	49999.99999999999	2.0000000000000002e-7	63	1.4894722271855633e-9	0.002582371863347547	-0.00003169912958144499	10
0.001202264434617413	41588.18855513354	2.404528869234826e-7	41	7.41522451336777e-10	0.004126990093545534	-0.000021043378796988105	10
0.001445439770745928	34591.54854594681	2.8908795414918563e-7	50	9.813364293484123e-10	0.002853896389391813	-0.00002567077432001276	10
0.0017378008287493763	28771.996866857833	3.475601657498753e-7	69	2.2542824951582606e-9	0.0028313661656819357	-0.000034896698052325225	10
0.0020892961308540386	23931.50461613193	4.1785922617080775e-7	69	2.324263757654988e-9	0.008979477554616734	-0.000036050082679922996	10
0.0025118864315095794	19905.358527674867	5.023772863019159e-7	52	9.59559940284322e-10	0.004913055096740965	-0.000026342883449441884	10
0.003019951720402016	16556.556074129556	6.039903440804033e-7	59	1.4384619788415455e-9	0.00891109480962335	-0.000029579572019398976	10
0.003630780547701014	13771.14351669083	7.261561095402028e-7	52	1.0301446769185918e-9	0.002383066157882109	-0.00002707798691340122	10
0.004365158322401661	11454.338263838861	8.730316644803322e-7	54	1.1380870526586609e-9	0.00008509100909748381	-0.000027838493684802393	10
0.005248074602497723	9527.303589816242	1.0496149204995447e-6	68	1.5582845409691296e-9	0.0007573349855719893	-0.000033993784223787246	10
0.00630957344480193	7924.4659623055695	1.2619146889603861e-6	67	1.7618218660023745e-9	7.296155715275805e-6	-0.00003363639147876906	10
0.007585775750291836	6591.283692782037	1.5171551500583673e-6	58	1.4140197246487948e-9	0.00655960207975147	-0.000029487494283219325	10
0.009120108393559097	5482.390980715925	1.8240216787118195e-6	52	9.784063443603033e-10	0.0004769117119044573	-0.000026343776122395794	10
0.01096478196143185	4560.054196779548	2.19295639228637e-6	51	9.902371848755232e-10	0.009620064522253455	-0.000025581337632678134	10
0.013182567385564075	3792.887875145918	2.636513477112815e-6	58	1.222644007837565e-9	0.0004189545739158347	-0.000029400208609953892	10
0.015848931924611134	3154.7867224009665	3.169786384922227e-6	59	1.233857702152933e-9	8.38889782249661e-6	-0.000030193957274500236	10
0.019054607179632473	2624.0373012488626	3.810921435926495e-6	57	1.1474471274660644e-9	0.0024455090686513873	-0.000029254525848407388	10
0.022908676527677734	2182.5791612008293	4.581735305535547e-6	64	1.4668307735174115e-9	0.0006189286483158155	-0.000032696558495945055	10
0.02754228703338166	1815.390273850507	5.508457406676333e-6	53	1.3015684296882862e-9	0.003053894503256209	-0.000027002001389257755	10
0.03311311214825911	1509.975860201008	6.622622429651823e-6	58	1.4414814579315027e-9	0.007935922454370149	-0.00002972700016514565	10
0.039810717055349734	1255.9432157547897	7.962143411069947e-6	51	9.215874978230143e-10	0.0027470479780395828	-0.000025565425941804996	10
0.047863009232263824	1044.64806542702	9.572601846452765e-6	53	1.4557724063850383e-9	0.0007851230695124564	-0.000028344244686100352	10
0.057543993733715694	868.9004143746877	0.000011508798746743139	67	1.5484457448640623e-9	0.0020800327579870393	-0.00003354414606463088	10
0.06918309709189366	722.7198853729636	0.000013836619418378732	56	1.4502773867476861e-9	0.00007900344605380936	-0.0000285941006915173	10
0.08317637711026708	601.1322173087066	0.00001663527542205342	70	2.095542393870538e-9	9.250007442943781e-6	-0.000035297896275365575	10
0.1	500.	0.00002	52	9.951301871002607e-10	0.005545049621875043	-0.000026004185562384557	10
0.12022644346174131	415.8818855513354	0.000024045288692348264	65	1.4014526845343168e-9	0.0040763501369634764	-0.00003258370842800873	10
0.1445439770745928	345.91548545946813	0.00002890879541491856	68	2.101290516640678e-9	0.00043068328770889405	-0.000033742673584337616	10
0.17378008287493762	287.71996866857836	0.00003475601657498753	54	1.237121598477364e-9	0.008893153761408472	-0.000027111901659057024	10
0.20892961308540386	239.3150461613193	0.00004178592261708078	56	1.190257564735827e-9	0.000015317507042079648	-0.000029127554887014542	10
0.25118864315095796	199.0535852767487	0.000050237728630191596	75	2.0525829477878027e-9	0.0002938833759110982	-0.00003817146968829103	10
0.3019951720402016	165.56556074129554	0.00006039903440804032	59	1.5005082404595349e-9	0.005450230049966161	-0.0000299933725283298	10
0.3630780547701014	137.7114351669083	0.00007261561095402028	61	1.277722768622776e-9	0.0002114410578279487	-0.00003054869318463181	10
0.4365158322401661	114.54338263838862	0.00008730316644803323	50	9.002083942820471e-10	0.004905178128106606	-0.0000256069013423522	10
0.5248074602497729	95.2730358981623	0.00010496149204995457	55	1.1940947476624215e-9	0.0009050736943967581	-0.00002775060382104704	10
0.6309573444801936	79.24465962305563	0.00012619146889603872	53	1.0660923844122542e-9	0.0012577771096674126	-0.000026505393409051603	10
0.7585775750291835	65.91283692782036	0.00015171551500583672	51	8.827104134468136e-10	0.00882057556062009	-0.000025733724116445444	10
0.9120108393559097	54.823909807159254	0.00018240216787118193	63	1.369036471497698e-9	0.004043348399898507	-0.00003127165282807116	10
1.096478196143185	45.600541967795486	0.00021929563922863703	59	1.234819806091054e-9	0.003939614748442632	-0.000028932636138515382	10
1.3182567385564075	37.92887875145918	0.0002636513477112815	49	1.2172869311736816e-9	0.0002757160986294551	-0.000025057908134092307	10
1.584893192461114	31.54786722400965	0.00031697863849222284	63	1.5478350299004018e-9	0.0008432137151039346	-0.000031364741021000136	10
1.9054607179632483	26.240373012488615	0.0003810921435926497	69	1.734743365078361e-9	0.00789871866645985	-0.00003364462664515322	10
2.2908676527677723	21.825791612008306	0.00045817353055355446	50	9.47230993229087e-10	0.0007230964273461803	-0.000025338724285374105	10
2.7542287033381663	18.153902738505067	0.0005508457406676332	59	1.1542221999990256e-9	0.008801972449464419	-0.000029643497903937458	10
3.311311214825911	15.099758602010079	0.0006622622429651823	56	1.1284188769677042e-9	0.0023965018376296034	-0.00002835466861086999	10
3.981071705534973	12.559432157547898	0.0007962143411069947	61	1.6511958783935068e-9	0.00009885113655300835	-0.000031120548472917535	10
4.786300923226385	10.446480654270193	0.0009572601846452771	42	7.229001017848839e-10	0.0047854105555787604	-0.00002146527797953166	10
