beta	a	b	lmax	sigmav/((4 pi)/k^2)	Deltasigmav	delta_lmax	counter
0.001	5000.	0.000020000000000000005	50	8.771588740745499e-10	0.0006311843648138533	-0.00002566580390321468	10
0.001202264434617413	4158.818855513355	0.000024045288692348264	79	3.4702566883570964e-9	0.009726665425473242	-0.000038835463984045056	10
0.001445439770745928	3459.154854594681	0.000028908795414918564	61	1.327243114495917e-9	0.000253476158067144	-0.00003010405707293006	10
0.0017378008287493763	2877.199686685783	0.000034756016574987535	51	1.0597758554796178e-9	0.002546294113201555	-0.00002656129417450145	10
0.0020892961308540386	2393.1504616131924	0.00004178592261708078	60	1.3379443063003024e-9	0.002025335238849125	-0.000029761579516530262	10
0.0025118864315095794	1990.5358527674866	0.000050237728630191596	76	2.118934139862012e-9	0.005293243274666421	-0.00003818169194543541	10
0.003019951720402016	1655.6556074129553	0.000060399034408040337	56	1.2885993270043375e-9	0.0009513684064625742	-0.00002803583448701484	10
0.003630780547701014	1377.114351669083	0.0000726156109540203	48	9.791192166159541e-10	0.0024368979338306005	-0.000024281522336655767	10
0.004365158322401661	1145.433826383886	0.00008730316644803324	63	1.6942910106829432e-9	0.001872088618896953	-0.000031973348960320737	10
0.005248074602497723	952.7303589816241	0.00010496149204995448	54	1.277602333528908e-9	0.0006826546849933827	-0.000027004198375330266	10
0.00630957344480193	792.4465962305569	0.00012619146889603864	51	1.0580773098804742e-9	0.0002635071710994741	-0.000026166562569991537	10
0.007585775750291836	659.1283692782036	0.00015171551500583674	46	9.212875799705453e-10	0.0014738590210652191	-0.00002319747698562743	10
0.009120108393559097	548.2390980715925	0.00018240216787118198	46	8.266557669461046e-10	0.005585304300700514	-0.000023243731619011814	10
0.01096478196143185	456.0054196779548	0.00021929563922863706	29	5.508079712276974e-10	0.0005902836192904048	-0.00001547370360897966	10
0.013182567385564075	379.2887875145918	0.00026365134771128153	16	4.702082529380558e-10	0.009921502812059264	-8.254473781147773e-6	10
0.015848931924611134	315.4786722400966	0.00031697863849222273	13	6.662262064044322e-10	0.0020262823966285216	-7.167801344565371e-6	10
0.019054607179632473	262.4037301248863	0.0003810921435926495	12	9.115057380661237e-10	0.006531427700773933	-6.717297956203734e-6	10
0.022908676527677734	218.2579161200829	0.0004581735305535548	11	1.3078118032679695e-9	0.0003710772059961837	-6.409613385174184e-6	10
0.02754228703338166	181.53902738505067	0.0005508457406676333	10	1.8674372854080934e-9	0.0024349823332788572	-5.410825920663995e-6	10
0.03311311214825911	150.99758602010078	0.0006622622429651824	10	2.716580782353513e-9	0.0035801372885808625	-5.370007781296955e-6	10
0.039810717055349734	125.59432157547897	0.0007962143411069948	10	3.9570043661097106e-9	0.000838636924186482	-5.6864459543030785e-6	10
0.047863009232263824	104.464806542702	0.0009572601846452766	10	5.7048017637685505e-9	0.000690577335929622	-5.373454609687033e-6	10
0.057543993733715694	86.89004143746877	0.0011508798746743141	10	8.272317762375144e-9	0.0018109208989684003	-5.154279379159261e-6	10
0.06918309709189366	72.27198853729637	0.0013836619418378735	10	1.1964476526701051e-8	0.0002258479015958153	-5.443320156212376e-6	10
0.08317637711026708	60.113221730870656	0.001663527542205342	10	1.7381468217010757e-8	0.000030229191639516716	-5.377241894591097e-6	10
0.1	49.99999999999999	0.0020000000000000005	10	2.5192480356550402e-8	0.00041134436999410535	-5.079019809294915e-6	10
0.12022644346174131	41.58818855513354	0.002404528869234827	10	3.656128380604765e-8	0.0001084888890871056	-5.543281044573943e-6	10
0.1445439770745928	34.591548545946814	0.0028908795414918564	10	5.291402613583848e-8	0.00020350231479931337	-4.787210103318252e-6	10
0.17378008287493762	28.771996866857833	0.003475601657498753	10	7.66161425906224e-8	0.00009060232820825856	-5.676322661447767e-6	10
0.20892961308540386	23.931504616131924	0.004178592261708078	10	1.1067963185484542e-7	2.1367733918525211e-7	-5.5607596711931075e-6	10
0.25118864315095796	19.905358527674863	0.00502377286301916	10	1.5981651186602799e-7	0.000017851144520123257	-5.555629631364394e-6	10
0.3019951720402016	16.556556074129556	0.006039903440804033	10	2.3124130595160236e-7	0.000020938467077894074	-5.306346583234483e-6	10
0.3630780547701014	13.771143516690827	0.00726156109540203	10	3.3426149784701093e-7	0.00001704187282641866	-5.3911704639675855e-6	10
0.4365158322401661	11.454338263838862	0.008730316644803324	10	4.823434710019142e-7	0.000023269944428459852	-5.291552296585998e-6	10
0.5248074602497729	9.52730358981623	0.01049614920499546	10	6.965103324402634e-7	0.000026049775665053676	-5.099627352426933e-6	10
0.6309573444801936	7.924465962305563	0.012619146889603874	10	1.005466380623915e-6	8.948534598495554e-7	-5.525668726641493e-6	10
0.7585775750291835	6.591283692782037	0.015171551500583674	10	1.4502027734037367e-6	2.7414519521655425e-6	-5.527731596189423e-6	10
0.9120108393559097	5.482390980715925	0.018240216787118197	10	2.0905669589886507e-6	5.160182752482464e-6	-5.078185507246835e-6	10
