beta	a	b	lmax	sigmav/((4 pi)/k^2)	Deltasigmav	delta_lmax	counter
0.001	500.	0.002	12	4.114200050237663e-7	0.000022431709583766588	-6.644530577419893e-6	10
0.001202264434617413	415.8818855513355	0.002404528869234826	12	5.953297878852911e-7	1.4326030531360303e-6	-6.791018269076049e-6	10
0.001445439770745928	345.91548545946813	0.002890879541491856	12	8.623305925593962e-7	0.000013138348328969588	-6.079016548908518e-6	10
0.0017378008287493763	287.71996866857836	0.0034756016574987525	12	1.2469552902766017e-6	1.976145330378761e-7	-6.775027910108902e-6	10
0.0020892961308540386	239.3150461613193	0.004178592261708077	12	1.8022600431788617e-6	0.000010282410337325402	-5.907957118237388e-6	10
0.0025118864315095794	199.0535852767487	0.005023772863019159	12	2.604727211737835e-6	4.547507057435906e-6	-6.481679309300234e-6	10
0.003019951720402016	165.56556074129554	0.006039903440804032	12	3.764204742132521e-6	6.29374260354546e-7	-6.491420701701876e-6	10
0.003630780547701014	137.7114351669083	0.007261561095402028	12	5.4397037887993945e-6	1.3321985408319214e-6	-6.292707493504115e-6	10
0.004365158322401661	114.54338263838862	0.008730316644803322	12	7.86023054230837e-6	9.141821935200666e-7	-6.020578261548248e-6	10
0.005248074602497723	95.27303589816242	0.010496149204995446	12	0.000011359083327185896	1.7132013344012055e-7	-6.725235477101392e-6	10
0.00630957344480193	79.2446596230557	0.01261914688960386	12	0.000016407090908761046	1.3156634492341285e-7	-6.592024718908944e-6	10
0.007585775750291836	65.91283692782036	0.015171551500583672	12	0.0000236930342859947	2.2812835990539325e-7	-6.7242558062204e-6	10
0.009120108393559097	54.823909807159254	0.018240216787118194	12	0.00003420834439820455	1.4686800671757043e-8	-6.622682817403433e-6	10
0.01096478196143185	45.600541967795486	0.0219295639228637	12	0.000049380744039199655	2.834170759368705e-7	-6.355691119740901e-6	10
0.013182567385564075	37.92887875145918	0.02636513477112815	12	0.00007126243421465308	9.586197568450455e-8	-6.534011556671865e-6	10
0.015848931924611134	31.547867224009664	0.03169786384922227	12	0.00010281502141433202	5.269031872594658e-8	-6.276903334657497e-6	10
0.019054607179632473	26.24037301248863	0.03810921435926495	12	0.00014826859437183694	1.4205762766282413e-8	-6.890534976920375e-6	10
0.022908676527677734	21.825791612008295	0.04581735305535547	12	0.00021355986112439542	4.73307944568674e-8	-6.648753448185469e-6	10
0.02754228703338166	18.15390273850507	0.05508457406676332	12	0.0003076158610573082	1.9402251213262033e-8	-6.447878976786548e-6	10
0.03311311214825911	15.099758602010079	0.06622622429651823	12	0.000442812666209059	5.401655831761525e-8	-5.875408381827341e-6	10
0.039810717055349734	12.559432157547898	0.07962143411069947	12	0.0006376140629750078	5.039088155553706e-9	-6.728396302160971e-6	10
0.047863009232263824	10.4464806542702	0.09572601846452765	12	0.0009163093276421292	3.175655481394504e-9	-6.6025604871085e-6	10
0.057543993733715694	8.689004143746876	0.11508798746743139	12	0.001309241993622138	1.6804294903722401e-9	-6.698203235196792e-6	10
0.06918309709189366	7.227198853729637	0.13836619418378732	12	0.0018851146462631014	4.274917478413803e-9	-6.831267590905995e-6	10
0.08317637711026708	6.011322173087065	0.16635275422053417	12	0.002697275019802873	4.1886760006061154e-10	-6.454139338162313e-6	10
0.1	5.	0.2	12	0.003851275058837996	2.1198293346599954e-9	-6.588363115520038e-6	10
0.12022644346174131	4.1588188555133545	0.24045288692348263	12	0.0053921143344715814	2.2858037703250267e-9	-6.381657382816339e-6	10
0.1445439770745928	3.4591548545946815	0.2890879541491856	12	0.007788372123848563	3.16469451081068e-12	-6.829543768667358e-6	10
0.17378008287493762	2.8771996866857834	0.34756016574987525	12	0.01101830622798644	9.692363432366966e-10	-6.547194536871784e-6	10
0.20892961308540386	2.393150461613193	0.41785922617080773	12	0.015519100802096213	1.6162925863753373e-11	-6.991370676171481e-6	10
0.25118864315095796	1.9905358527674866	0.5023772863019159	12	0.02174324323423339	3.165897558166073e-10	-6.780854593849628e-6	10
0.3019951720402016	1.6556556074129556	0.6039903440804032	12	0.030269545286310852	9.173736076371009e-11	-7.313545831230909e-6	10
0.3630780547701014	1.377114351669083	0.7261561095402028	12	0.04183287385320487	7.720834473469066e-11	-7.157992618170429e-6	10
0.4365158322401661	1.1454338263838861	0.8730316644803322	12	0.057303293868367904	7.644090346385805e-12	-7.252539409741293e-6	10
0.5248074602497729	0.9527303589816231	1.0496149204995457	12	0.07769846016775311	1.1941206810111137e-11	-7.68026210480341e-6	10
0.6309573444801936	0.7924465962305564	1.2619146889603872	12	0.104130103253802	1.4899982122694364e-12	-7.627532551867459e-6	10
0.7585775750291835	0.6591283692782037	1.517155150058367	12	0.13767808118695357	4.15613685171265e-12	-7.753320602035558e-6	10
0.9120108393559097	0.5482390980715925	1.8240216787118193	12	0.17951330355856135	1.6519605548801113e-11	-8.055378241087944e-6	10
1.096478196143185	0.4560054196779548	2.19295639228637	12	0.230451358243794	6.053449944015251e-11	-8.812728878581107e-6	10
1.3182567385564075	0.3792887875145918	2.636513477112815	12	0.29107131745091	6.198351630672413e-11	-9.160886598668822e-6	10
1.584893192461114	0.3154786722400965	3.169786384922228	12	0.3616079228662961	4.971531795567827e-11	-9.727326354792305e-6	10
1.9054607179632483	0.26240373012488616	3.8109214359264967	12	0.4418593220131197	9.223501107385859e-11	-9.937654686725091e-6	10
2.2908676527677723	0.21825791612008305	4.5817353055355445	12	0.5317255100843072	9.097650139711338e-11	-0.000010879770714915797	10
2.7542287033381663	0.18153902738505068	5.5084574066763325	12	0.630496455777838	1.4917255240352314e-10	-0.000011893216739386502	10
3.311311214825911	0.1509975860201008	6.622622429651822	12	0.7377080216973144	2.42684559312633e-10	-0.000013255706638790555	10
3.981071705534973	0.12559432157547898	7.962143411069946	13	0.8528319374608412	5.0775700290500284e-11	-0.000010189549480326323	10
4.786300923226385	0.10446480654270195	9.57260184645277	13	0.9757464733117936	1.2173868450888892e-11	-0.00001018637649755359	10
5.754399373371572	0.08689004143746873	11.508798746743144	13	1.1061967192749036	3.612962674659946e-11	-0.000011417260245993798	10
6.918309709189363	0.0722719885372964	13.836619418378726	13	1.2442023677170393	7.680940507306078e-11	-0.000012011948111673744	10
8.317637711026709	0.06011322173087065	16.635275422053418	13	1.389881124428582	7.851497780365833e-11	-0.000012848404647074279	10
10.	0.05	20.	13	1.5434356825429634	1.439038476752204e-10	-0.000014411135569972152	10
12.02264434617413	0.04158818855513354	24.04528869234826	13	1.7050559364257134	1.9006576954970655e-10	-0.00001556458592167386	10
14.45439770745928	0.03459154854594681	28.90879541491856	13	1.8749381166563728	2.677154038958642e-10	-0.00001732746216564436	10
17.378008287493763	0.028771996866857833	34.75601657498753	14	2.053285668524195	3.4054719034580794e-11	-0.000011638034356613131	10
20.892961308540407	0.0239315046161319	41.785922617080814	14	2.2402346280179084	5.057368812361373e-11	-0.000012973607446721734	10
25.11886431509582	0.019905358527674846	50.23772863019164	14	2.4359151192304247	6.618454191438401e-11	-0.000013980857985509001	10
30.199517204020193	0.01655655607412954	60.399034408040386	14	2.640440958507106	7.201537217512876e-11	-0.000014886177553450898	10
36.30780547701018	0.013771143516690816	72.61561095402035	14	2.8539062388320326	1.3019912785226693e-10	-0.000016664230018880057	10
43.65158322401656	0.011454338263838874	87.30316644803312	14	3.0763960076364203	2.1251480484383693e-10	-0.000018914619898546258	10
52.48074602497723	0.009527303589816242	104.96149204995446	14	3.3079871870800663	2.5585034323786266e-10	-0.000020917787090377974	10
63.0957344480193	0.00792446596230557	126.1914688960386	15	3.548749705834348	4.5432441666754056e-11	-0.000014619601217610453	10
75.85775750291836	0.006591283692782037	151.71551500583672	15	3.7987473454853884	6.802790941255124e-11	-0.000015406697978583264	10
91.20108393559097	0.005482390980715925	182.40216787118194	15	4.058040947004818	8.995812752872979e-11	-0.0000165698303668449	10
109.64781961431851	0.004560054196779548	219.29563922863701	15	4.32668601635433	1.2326355953964332e-10	-0.000018472551974002826	10
131.82567385564073	0.0037928878751459184	263.65134771128146	15	4.60473417375906	2.1035998801860583e-10	-0.000021428567085395863	10
158.48931924611142	0.0031547867224009647	316.97863849222284	15	4.892233959766526	2.7633409502621843e-10	-0.000023485805092651433	10
190.54607179632484	0.0026240373012488614	381.0921435926497	15	5.189233193437677	3.6941940632112504e-10	-0.00002642672573527628	10
229.08676527677747	0.0021825791612008283	458.17353055355494	16	5.495773162379998	5.289921990510298e-11	-0.000016289670204189346	10
275.4228703338169	0.001815390273850505	550.8457406676338	16	5.811895633267971	1.0732970099011764e-10	-0.00001907765319587076	10
331.1311214825914	0.0015099758602010066	662.2622429651828	16	6.1376406890940265	1.3524212517386563e-10	-0.000020908817569689998	10
398.1071705534977	0.0012559432157547886	796.2143411069954	16	6.473044114028398	1.9091754186834044e-10	-0.000023022472648193435	10
478.630092322638	0.0010446480654270204	957.260184645276	16	6.818142241057181	2.2265874053913415e-10	-0.000025255897380908936	10
575.4399373371566	0.0008689004143746882	1150.8798746743132	16	7.172966816915849	3.583337927926388e-10	-0.0000290512486693988	10
691.8309709189363	0.000722719885372964	1383.6619418378725	17	7.537552750556553	5.741581111381223e-11	-0.000018434312726875144	10
831.7637711026708	0.0006011322173087066	1663.5275422053417	17	7.911929461961188	8.495740312543465e-11	-0.000020320522965938836	10
1000.	0.0005	2000.	17	8.2961251491759	1.2676842729815745e-10	-0.000022494805261005654	10
1202.2644346174131	0.00041588188555133544	2404.5288692348263	17	8.690170092444399	1.7665431012967723e-10	-0.00002502867840962958	10
1445.439770745928	0.0003459154854594681	2890.879541491856	17	9.094089520333496	2.637860033745046e-10	-0.00002845618276966787	10
1737.8008287493763	0.0002877199686685783	3475.6016574987525	17	9.507911703449901	3.652209007021928e-10	-0.00003276992681715218	10
2089.2961308540407	0.00023931504616131902	4178.592261708081	17	9.931659843042283	5.126884153468785e-10	-0.00003671496426237902	10
2511.886431509582	0.00019905358527674846	5023.772863019164	18	10.365358357713925	1.1770557805282517e-10	-0.000021582233451525405	10
3019.951720402019	0.0001655655607412954	6039.903440804038	18	10.809030774287741	1.2571587826973697e-10	-0.00002455055315956953	10
3630.7805477010174	0.00013771143516690817	7261.561095402035	18	11.262700243278838	1.9331592026441623e-10	-0.00002763410172908937	10
4365.158322401666	0.0001145433826383885	8730.316644803332	18	11.726386075997777	2.729762778398848e-10	-0.000031230900434139154	10
5248.074602497723	0.00009527303589816241	10496.149204995447	18	12.200113135835446	3.495848034874155e-10	-0.00003584630876860686	10
6309.57344480193	0.0000792446596230557	12619.14688960386	18	12.683896731482841	5.711795601274226e-10	-0.00004182012076687138	10
7585.775750291836	0.00006591283692782037	15171.551500583671	19	13.177760655621574	9.254760763777591e-11	-0.00002393776241802768	10
9120.108393559096	0.00005482390980715926	18240.216787118192	19	13.681721401590938	1.5183590078965037e-10	-0.000027312862064649143	10
10964.78196143185	0.00004560054196779549	21929.5639228637	19	14.195797893207253	2.0618783717046675e-10	-0.00003058950124818456	10
13182.567385564074	0.00003792887875145918	26365.13477112815	19	14.720006335747675	2.8796771411757855e-10	-0.00003421195948353636	10
15848.93192461114	0.00003154786722400965	31697.86384922228	19	15.254367380161181	4.1440077149521706e-10	-0.00003976629678743216	10
19054.607179632483	0.000026240373012488613	38109.214359264966	19	15.798895429998836	5.694534688059775e-10	-0.00004475941369665295	10
22908.676527677748	0.000021825791612008283	45817.353055355496	19	16.353606992695834	8.038315408547097e-10	-0.00005298530009640341	10
27542.28703338169	0.00001815390273850505	55084.57406676338	20	16.918517008167054	1.5933007652771665e-10	-0.000029924867931254573	10
33113.11214825915	0.000015099758602010064	66226.2242965183	20	17.49364279083262	2.241447832662821e-10	-0.00003375392565263726	10
39810.71705534977	0.000012559432157547886	79621.43411069954	20	18.07899883625505	2.7837308596632204e-10	-0.00003772009202889347	10
47863.0092322638	0.000010446480654270205	95726.0184645276	20	18.674597167160798	4.5822415119379313e-10	-0.0000444172268234	10
57543.993733715666	8.689004143746882e-6	115087.98746743133	20	19.280453504928325	6.290449405034293e-10	-0.000050426211694832685	10
69183.09709189362	7.22719885372964e-6	138366.19418378724	20	19.89658169020869	9.044288208643322e-10	-0.0000590811446617359	10
83176.37711026709	6.011322173087066e-6	166352.75422053417	21	20.522996239551265	1.6250374664157846e-10	-0.0000321513745892	10
100000.	5.e-6	200000.	21	21.159709070222338	2.6522631512280137e-10	-0.000037585808391	10
