beta	a	b	lmax	sigmaT/((4 pi)/k^2)	DeltasigmaT	delta_lmax	counter
0.001	5000.	0.000020000000000000005	46	7.701657160277931e-10	0.007111415314840801	-0.000022891825728528964	10
0.001202264434617413	4158.818855513355	0.000024045288692348264	37	3.7330613148506026e-10	0.0002135179069366056	-0.000018554592744093282	10
0.001445439770745928	3459.154854594681	0.000028908795414918564	53	8.165840395387208e-10	0.0014091880840867062	-0.000027186143159253566	10
0.0017378008287493763	2877.199686685783	0.000034756016574987535	50	9.438821920362402e-10	0.007853474461239457	-0.000025276612179408535	10
0.0020892961308540386	2393.1504616131924	0.00004178592261708078	42	4.6011288112674395e-10	0.008334166355741931	-0.000020938884230077127	10
0.0025118864315095794	1990.5358527674866	0.000050237728630191596	58	1.356117823316529e-9	0.0004716634649807518	-0.00002843399252745681	10
0.003019951720402016	1655.6556074129553	0.000060399034408040337	37	3.32839870605374e-10	0.00020758845979313	-0.000019121852007524752	10
0.003630780547701014	1377.114351669083	0.0000726156109540203	51	8.346016754839838e-10	0.0035496254756162316	-0.00002587848920136853	10
0.004365158322401661	1145.433826383886	0.00008730316644803324	29	3.327670389095603e-10	0.0000575294401633243	-0.000014843340798193329	10
0.005248074602497723	952.7303589816241	0.00010496149204995448	32	5.004992895920188e-10	0.005579822758281003	-0.000016061596857959613	10
0.00630957344480193	792.4465962305569	0.00012619146889603864	24	3.492186942750452e-10	0.00011390937794617298	-0.000012325032472550332	10
0.007585775750291836	659.1283692782036	0.00015171551500583674	16	2.849418600952702e-10	0.00009890895873405778	-8.810243492492704e-6	10
0.009120108393559097	548.2390980715925	0.00018240216787118198	15	4.0579775650789976e-10	0.0015856145262805534	-8.261820992230767e-6	10
0.01096478196143185	456.0054196779548	0.00021929563922863706	11	5.176064189247185e-10	0.007936435951803123	-5.975346422367428e-6	10
0.013182567385564075	379.2887875145918	0.00026365134771128153	13	7.507715593602089e-10	0.00032519797893933346	-7.166415974512294e-6	10
0.015848931924611134	315.4786722400966	0.00031697863849222273	10	1.0306254128090214e-9	0.007033015446662156	-5.117751420877107e-6	10
0.019054607179632473	262.4037301248863	0.0003810921435926495	10	1.4602151362190894e-9	0.00003477216071633334	-5.802172698873596e-6	10
0.022908676527677734	218.2579161200829	0.0004581735305535548	10	2.090651414306307e-9	0.0005017896613565976	-5.7471911531370205e-6	10
0.02754228703338166	181.53902738505067	0.0005508457406676333	10	2.995720647220678e-9	0.002753064830141042	-4.918209013094855e-6	10
0.03311311214825911	150.99758602010078	0.0006622622429651824	10	4.304797931704591e-9	0.00025314183946762656	-5.5861798518817976e-6	10
0.039810717055349734	125.59432157547897	0.0007962143411069948	10	6.202120193993922e-9	0.001928628802046775	-5.12326591339546e-6	10
0.047863009232263824	104.464806542702	0.0009572601846452766	10	8.89846978995939e-9	0.0017409907302906892	-4.858004116311769e-6	10
0.057543993733715694	86.89004143746877	0.0011508798746743141	10	1.284611781895629e-8	0.00017726913414940822	-5.228440191976655e-6	10
0.06918309709189366	72.27198853729637	0.0013836619418378735	10	1.8489747238000026e-8	0.0001910882497567686	-5.370490140527521e-6	10
0.08317637711026708	60.113221730870656	0.001663527542205342	10	2.6607536952625802e-8	0.0003172222758179649	-5.034665834097392e-6	10
0.1	49.99999999999999	0.0020000000000000005	10	3.835208747532266e-8	0.00008908417585807923	-5.577220668438971e-6	10
0.12022644346174131	41.58818855513354	0.002404528869234827	10	5.5531214272994164e-8	4.900796765509659e-6	-5.3369664563219676e-6	10
0.1445439770745928	34.591548545946814	0.0028908795414918564	10	8.00574765443677e-8	0.00007130796908392533	-5.475542298677878e-6	10
0.17378008287493762	28.771996866857833	0.003475601657498753	10	1.1564459058672304e-7	6.9728956298392274e-6	-5.746502018556643e-6	10
0.20892961308540386	23.931504616131924	0.004178592261708078	10	1.6700587139167054e-7	0.000033661258118180674	-5.543000881771618e-6	10
0.25118864315095796	19.905358527674863	0.00502377286301916	10	2.4153788585418967e-7	0.00002937975829480842	-5.41196883503212e-6	10
0.3019951720402016	16.556556074129556	0.006039903440804033	10	3.4949434098062435e-7	5.801657255300136e-6	-5.38072755056672e-6	10
0.3630780547701014	13.771143516690827	0.00726156109540203	10	5.051091291815742e-7	0.000020151818405647377	-5.036171605944148e-6	10
0.4365158322401661	11.454338263838862	0.008730316644803324	10	7.309989430862099e-7	2.333292092016946e-6	-5.343391742470626e-6	10
0.5248074602497729	9.52730358981623	0.01049614920499546	10	1.0581919787314403e-6	5.5925969731056245e-6	-5.145610441559498e-6	10
0.6309573444801936	7.924465962305563	0.012619146889603874	10	1.5322342103707164e-6	5.5025746779906525e-6	-4.888922085589559e-6	10
0.7585775750291835	6.591283692782037	0.015171551500583674	10	2.2192486594487575e-6	1.1794099517197928e-6	-5.673303114150191e-6	10
0.9120108393559097	5.482390980715925	0.018240216787118197	10	3.216349748905259e-6	4.66981666524535e-7	-5.421696033389439e-6	10
1.096478196143185	4.560054196779548	0.021929563922863705	10	4.6660371391358345e-6	7.034106894748207e-7	-5.2699694135264075e-6	10
1.3182567385564075	3.7928878751459174	0.026365134771128153	10	6.772519204588982e-6	2.944170087256508e-7	-5.477979595818043e-6	10
1.584893192461114	3.154786722400965	0.03169786384922229	10	9.843546615676649e-6	1.034539614920292e-8	-5.562398272814311e-6	10
1.9054607179632483	2.6240373012488614	0.038109214359264974	10	0.000014315672648343644	1.0625021036518415e-6	-4.895578407121398e-6	10
2.2908676527677723	2.1825791612008305	0.045817353055355454	10	0.000020855119597421934	1.3614675634900065e-7	-5.528509101270176e-6	10
2.7542287033381663	1.8153902738505068	0.055084574066763335	10	0.00003042640202078862	2.4413776043795054e-7	-5.0605992191997525e-6	10
3.311311214825911	1.5099758602010078	0.06622622429651824	10	0.00004448183437214382	8.635102780268333e-8	-5.4015516741296756e-6	10
3.981071705534973	1.2559432157547898	0.07962143411069948	10	0.00006518155476420548	1.679095401548285e-9	-5.845433950951503e-6	10
4.786300923226385	1.0446480654270194	0.09572601846452772	10	0.00009580733835582693	6.411854574490987e-9	-5.670600603365676e-6	10
5.754399373371572	0.8689004143746872	0.11508798746743147	10	0.00014133736302593563	2.742752377400021e-8	-5.3766890731058615e-6	10
6.918309709189363	0.7227198853729639	0.1383661941837873	10	0.00020939918436931835	2.046125937783067e-9	-5.3473786987945e-6	10
8.317637711026709	0.6011322173087065	0.16635275422053422	10	0.000312021024248613	2.429783005403179e-8	-5.397419801090606e-6	10
10.	0.5	0.20000000000000004	10	0.0004681601505590499	5.443196309821049e-9	-5.547811206707045e-6	10
12.02264434617413	0.41588188555133543	0.24045288692348266	10	0.0007086092137229085	3.2490328978929973e-9	-5.68754214790093e-6	10
14.45439770745928	0.3459154854594681	0.28908795414918564	10	0.0010845315185533677	3.992047159235747e-9	-5.071591458237065e-6	10
17.378008287493763	0.2877199686685783	0.34756016574987536	10	0.0016838949868063849	2.9627445373441034e-9	-5.319422534960191e-6	10
20.892961308540407	0.239315046161319	0.41785922617080823	10	0.0026656794553946775	8.758934078837843e-12	-5.72242246129205e-6	10
25.11886431509582	0.19905358527674843	0.5023772863019165	10	0.004325988795385835	1.385124546127504e-9	-5.4174371173432845e-6	10
30.199517204020193	0.16556556074129536	0.603990344080404	10	0.007270500606338931	8.659733866829735e-10	-5.539674353138883e-6	10
36.30780547701018	0.13771143516690815	0.7261561095402037	10	0.012849714839596276	4.632918777403057e-10	-4.978182532137425e-6	10
43.65158322401656	0.11454338263838873	0.8730316644803314	10	0.02451036447942723	1.1756380944345776e-10	-5.312933672718275e-6	10
52.48074602497723	0.0952730358981624	1.0496149204995449	10	0.05294955264244681	2.7809146352012426e-11	-5.490470571063012e-6	10
63.0957344480193	0.0792446596230557	1.2619146889603863	10	0.14288457617047085	7.833123172247377e-11	-5.335149991436046e-6	10
75.85775750291836	0.06591283692782036	1.5171551500583675	10	0.554420495117414	6.6899277955210604e-12	-5.0861249155594205e-6	10
91.20108393559097	0.054823909807159246	1.8240216787118197	10	0.7970370144864388	9.638433447056083e-12	-5.352837035589304e-6	10
109.64781961431851	0.04560054196779548	2.1929563922863706	10	0.22600967263515223	2.4692071762465922e-11	-5.597627291087816e-6	10
131.82567385564073	0.03792887875145918	2.636513477112815	10	0.0837249010261859	1.1232692245090413e-10	-5.180371626492153e-6	10
158.48931924611142	0.031547867224009644	3.169786384922229	10	0.03421264322600244	4.881533256868992e-11	-5.607990789434082e-6	10
190.54607179632484	0.02624037301248861	3.8109214359264976	10	0.009833893012585025	1.0236514561016549e-10	-5.482113053350879e-6	10
229.08676527677747	0.02182579161200828	4.58173530553555	11	0.00012314439355990678	4.083766610334601e-8	-5.921555659944341e-6	10
275.4228703338169	0.018153902738505052	5.508457406676339	10	0.06568289667301828	5.226294835676636e-11	-5.311877666926657e-6	10
331.1311214825914	0.015099758602010066	6.6226224296518295	10	0.9848978260032122	6.364436017196656e-12	-5.460684170527599e-6	10
398.1071705534977	0.012559432157547885	7.962143411069956	11	0.20640774940379375	7.137971182864643e-11	-5.368717945773098e-6	10
478.630092322638	0.010446480654270203	9.572601846452763	10	0.0493204059512998	5.078125520402513e-11	-5.246383483780583e-6	10
575.4399373371566	0.008689004143746881	11.508798746743134	10	0.0035797066967259866	6.112158099883119e-10	-5.3421472220323105e-6	10
691.8309709189363	0.00722719885372964	13.836619418378728	11	0.3643481338074309	7.69770761694638e-12	-6.333884446996443e-6	10
831.7637711026708	0.006011322173087066	16.63527542205342	11	0.29396236412045695	1.1324969343063676e-11	-5.723783231189857e-6	10
1000.	0.005	20.000000000000004	10	0.04847186151383051	1.6927888888896445e-10	-5.243203854416853e-6	10
1202.2644346174131	0.004158818855513354	24.04528869234827	11	0.06180554412872901	1.300600317551192e-11	-6.115133571372112e-6	10
1445.439770745928	0.0034591548545946814	28.908795414918565	11	0.6016405178355086	1.2308325910130144e-12	-6.063507212727801e-6	10
1737.8008287493763	0.002877199686685783	34.756016574987534	10	0.02995942554330535	1.244174944456171e-10	-5.474779567706575e-6	10
2089.2961308540407	0.0023931504616131905	41.78592261708082	11	0.788701937532053	3.2611225594370487e-12	-6.012965554606653e-6	10
2511.886431509582	0.0019905358527674845	50.237728630191654	10	0.06936554624528152	1.4484743181103133e-10	-5.0938668238123835e-6	10
3019.951720402019	0.001655655607412954	60.39903440804039	11	0.8439039668500258	4.515990831128855e-12	-5.810652432155632e-6	10
