beta	a	b	lmax	sigmaT/((4 pi)/k^2)	DeltasigmaT	delta_lmax	counter
0.001	500.	0.002	12	4.0607950047415833e-7	1.2175056438848064e-6	-6.368952822170065e-6	10
0.001202264434617413	415.8818855513355	0.002404528869234826	12	5.868607111357916e-7	0.000012333582747170943	-6.278831990730836e-6	10
0.001445439770745928	345.91548545946813	0.002890879541491856	12	8.479252903156163e-7	2.4002891341395587e-6	-6.618345319014032e-6	10
0.0017378008287493763	287.71996866857836	0.0034756016574987525	12	1.2256903221284134e-6	1.0614279303520428e-6	-6.879970745339595e-6	10
0.0020892961308540386	239.3150461613193	0.004178592261708077	12	1.7702496389755931e-6	9.642859030568268e-7	-6.418840016222575e-6	10
0.0025118864315095794	199.0535852767487	0.005023772863019159	12	2.559561005949485e-6	1.6706676234107042e-7	-6.935729639595418e-6	10
0.003019951720402016	165.56556074129554	0.006039903440804032	12	3.700923403989219e-6	1.1967989824279185e-6	-6.659338249202965e-6	10
0.003630780547701014	137.7114351669083	0.007261561095402028	12	5.35154112498543e-6	5.408414596369402e-9	-6.597545417123053e-6	10
0.004365158322401661	114.54338263838862	0.008730316644803322	12	7.739610672489893e-6	1.1276417579861723e-6	-6.244576107353475e-6	10
0.005248074602497723	95.27303589816242	0.010496149204995446	12	0.000011194187053425051	3.752742408863815e-7	-6.653208482260541e-6	10
0.00630957344480193	79.2446596230557	0.01261914688960386	12	0.000016194238816133516	9.37651494285636e-8	-6.173794922760513e-6	10
0.007585775750291836	65.91283692782036	0.015171551500583672	12	0.000023428850480014075	1.2325286216462324e-7	-6.393625631704027e-6	10
0.009120108393559097	54.823909807159254	0.018240216787118194	12	0.000033906224187864145	7.420756721952124e-8	-6.304704797732599e-6	10
0.01096478196143185	45.600541967795486	0.0219295639228637	12	0.00004908119446050091	2.4332683601346215e-8	-6.631742504146576e-6	10
0.013182567385564075	37.92887875145918	0.02636513477112815	12	0.00007106839654803575	8.301031204259686e-8	-6.316977503574619e-6	10
0.015848931924611134	31.547867224009664	0.03169786384922227	12	0.00010294466415302114	1.814574897172219e-8	-6.471326677426224e-6	10
0.019054607179632473	26.24037301248863	0.03810921435926495	12	0.0001491817816627506	8.153799180309307e-8	-6.136738302728865e-6	10
0.022908676527677734	21.825791612008295	0.04581735305535547	12	0.0002162944311900846	7.63455934663907e-9	-6.4012725206635845e-6	10
0.02754228703338166	18.15390273850507	0.05508457406676332	12	0.0003137971009842389	3.488928210211434e-8	-6.338773459996231e-6	10
0.03311311214825911	15.099758602010079	0.06622622429651823	12	0.000455593232759735	3.5136882352632354e-10	-6.7839338410538135e-6	10
0.039810717055349734	12.559432157547898	0.07962143411069947	12	0.0006620549276039063	1.024489253003523e-8	-6.5698394020241605e-6	10
0.047863009232263824	10.4464806542702	0.09572601846452765	12	0.0009631000678445473	1.9302716053446065e-8	-5.8563013835403915e-6	10
0.057543993733715694	8.689004143746876	0.11508798746743139	12	0.0014028326598811947	1.0443284003740287e-8	-5.9701962287740715e-6	10
0.06918309709189366	7.227198853729637	0.13836619418378732	12	0.0020464523887658184	5.294215704923805e-9	-6.069516316495994e-6	10
0.08317637711026708	6.011322173087065	0.16635275422053417	12	0.002990811923071846	2.601070546914549e-9	-6.085728486550069e-6	10
0.1	5.	0.2	12	0.004380420323016533	2.840970163528961e-9	-6.107355404050763e-6	10
0.12022644346174131	4.1588188555133545	0.24045288692348263	12	0.006432165009320699	3.771466652824416e-9	-5.767968898084679e-6	10
0.1445439770745928	3.4591548545946815	0.2890879541491856	12	0.009473520023284351	1.502201985949291e-9	-5.9973332340529576e-6	10
0.17378008287493762	2.8771996866857834	0.34756016574987525	12	0.014002257207268472	2.7586428285332737e-10	-6.230059511568422e-6	10
0.20892961308540386	2.393150461613193	0.41785922617080773	12	0.020780251650112117	3.394847793111317e-10	-5.726442727439455e-6	10
0.25118864315095796	1.9905358527674866	0.5023772863019159	12	0.03098103360440663	3.387560030350334e-10	-5.9776781049008565e-6	10
0.3019951720402016	1.6556556074129556	0.6039903440804032	12	0.04642066127767976	2.994199187374738e-10	-5.938618879838243e-6	10
0.3630780547701014	1.377114351669083	0.7261561095402028	12	0.06990986261565889	2.6417079065116768e-11	-6.05859687357572e-6	10
0.4365158322401661	1.1454338263838861	0.8730316644803322	12	0.10576031142750073	1.2878591154487429e-10	-5.265803253652234e-6	10
0.5248074602497729	0.9527303589816231	1.0496149204995457	13	0.16040548986550549	1.3573465443405361e-11	-6.881985424928314e-6	10
0.6309573444801936	0.7924465962305564	1.2619146889603872	13	0.2428231529410096	1.1906440959272014e-11	-6.624957116239842e-6	10
0.7585775750291835	0.6591283692782037	1.517155150058367	13	0.36370968618544314	3.3514136704374987e-11	-6.304472467646195e-6	10
0.9120108393559097	0.5482390980715925	1.8240216787118193	13	0.5311275812323846	4.343670949695407e-12	-6.401315519150132e-6	10
1.096478196143185	0.4560054196779548	2.19295639228637	13	0.7410413781144477	2.581476475345431e-11	-5.936016041244118e-6	10
1.3182567385564075	0.3792887875145918	2.636513477112815	13	0.9671181173985727	1.4474185473685925e-11	-5.778834820313248e-6	10
1.584893192461114	0.3154786722400965	3.169786384922228	14	1.174589675167791	7.981275008741345e-13	-7.108852401457996e-6	10
1.9054607179632483	0.26240373012488616	3.8109214359264967	14	1.3586493021707726	8.057445799008779e-12	-6.713899612851386e-6	10
2.2908676527677723	0.21825791612008305	4.5817353055355445	14	1.5750256177609334	1.0536444293937037e-11	-6.603037369488545e-6	10
2.7542287033381663	0.18153902738505068	5.5084574066763325	14	1.9327069489386828	7.55743966497596e-12	-6.953669221258767e-6	10
3.311311214825911	0.1509975860201008	6.622622429651822	14	2.505022299910564	4.955317800657362e-12	-6.631697122488448e-6	10
3.981071705534973	0.12559432157547898	7.962143411069946	14	3.010974262155331	4.648006306524165e-12	-6.26246748809915e-6	10
4.786300923226385	0.10446480654270195	9.57260184645277	15	2.8648345817286245	8.496622431798831e-12	-7.536716683267625e-6	10
5.754399373371572	0.08689004143746873	11.508798746743144	15	2.367492627315224	1.28303258913185e-13	-7.701513419989577e-6	10
6.918309709189363	0.0722719885372964	13.836619418378726	15	2.437626351887711	1.4157649981766529e-11	-6.787126508297771e-6	10
8.317637711026709	0.06011322173087065	16.635275422053418	15	3.7849706518335946	6.656109965544155e-12	-7.179882138310668e-6	10
10.	0.05	20.	15	2.7777954184090894	8.395790701548008e-12	-7.094792219427456e-6	10
12.02264434617413	0.04158818855513354	24.04528869234826	16	1.555936445475558	2.889837347032894e-12	-8.041514428210462e-6	10
14.45439770745928	0.03459154854594681	28.90879541491856	16	3.8799665683493196	3.0381457619906457e-12	-7.840797542387344e-6	10
17.378008287493763	0.028771996866857833	34.75601657498753	16	7.481998446755118	1.6022115235683836e-12	-7.97608069290319e-6	10
20.892961308540407	0.0239315046161319	41.785922617080814	16	2.305291017620875	6.8136453195893045e-12	-7.475182771538681e-6	10
25.11886431509582	0.019905358527674846	50.23772863019164	16	5.445209403124442	6.9139869686015855e-12	-7.633817326566954e-6	10
30.199517204020193	0.01655655607412954	60.399034408040386	16	3.0062407811898932	4.784286518057944e-12	-7.3399094721278625e-6	10
36.30780547701018	0.013771143516690816	72.61561095402035	17	5.256297900582441	9.47944927925471e-13	-8.937440635714815e-6	10
43.65158322401656	0.011454338263838874	87.30316644803312	16	5.3535409656442425	4.650976611139607e-12	-7.226962457808823e-6	10
52.48074602497723	0.009527303589816242	104.96149204995446	17	2.4923413791631925	4.579265420305639e-12	-8.01117983169383e-6	10
63.0957344480193	0.00792446596230557	126.1914688960386	17	3.9623571084272475	1.154281314655779e-12	-8.233745812080766e-6	10
75.85775750291836	0.006591283692782037	151.71551500583672	17	7.06503030689371	4.683251059370369e-12	-7.567326685035718e-6	10
