beta	a	b	lmax	sigmav/((4 pi)/k^2)	Deltasigmav	delta_lmax	counter
0.001	500.	0.002	12	4.1687371245470223e-7	0.000022696462473203902	-6.368952822170065e-6	10
0.001202264434617413	415.8818855513355	0.002404528869234826	12	6.023556440280288e-7	0.000021536285853089397	-6.278831990730836e-6	10
0.001445439770745928	345.91548545946813	0.002890879541491856	12	8.696415313271667e-7	0.000011449514576307701	-6.618345319014032e-6	10
0.0017378008287493763	287.71996866857836	0.0034756016574987525	12	1.256769432796136e-6	2.548386718961494e-7	-6.879970745339595e-6	10
0.0020892961308540386	239.3150461613193	0.004178592261708077	12	1.8130077462160927e-6	5.781643992696613e-6	-6.418840016222575e-6	10
0.0025118864315095794	199.0535852767487	0.005023772863019159	12	2.621067779374256e-6	1.6803709983137949e-6	-6.935729639595418e-6	10
0.003019951720402016	165.56556074129554	0.006039903440804032	12	3.7888670046721846e-6	5.272160930325839e-7	-6.659338249202965e-6	10
0.003630780547701014	137.7114351669083	0.007261561095402028	12	5.4778885490585016e-6	5.375538112119414e-7	-6.597545417123053e-6	10
0.004365158322401661	114.54338263838862	0.008730316644803322	12	7.920718539916213e-6	6.087027811104834e-7	-6.244576107353475e-6	10
0.005248074602497723	95.27303589816242	0.010496149204995446	12	0.000011454143900467969	9.227966500232602e-8	-6.653208482260541e-6	10
0.00630957344480193	79.2446596230557	0.01261914688960386	12	0.00001656825091336973	3.394417267459499e-7	-6.173794922760513e-6	10
0.007585775750291836	65.91283692782036	0.015171551500583672	12	0.00002396329860147073	1.5483618405728196e-7	-6.393625631704027e-6	10
0.009120108393559097	54.823909807159254	0.018240216787118194	12	0.00003467394642798171	1.410677750183749e-7	-6.304704797732599e-6	10
0.01096478196143185	45.600541967795486	0.0219295639228637	12	0.000050182667671963176	1.084495315171541e-7	-6.631742504146576e-6	10
0.013182567385564075	37.92887875145918	0.02636513477112815	12	0.00007264668674984995	2.1270728085048104e-7	-6.316977503574619e-6	10
0.015848931924611134	31.547867224009664	0.03169786384922227	12	0.00010520481521040309	3.8807039352067174e-8	-6.471326677426224e-6	10
0.019054607179632473	26.24037301248863	0.03810921435926495	12	0.00015241003685825317	1.30208252494779e-7	-6.136738302728865e-6	10
0.022908676527677734	21.825791612008295	0.04581735305535547	12	0.00022089028705521842	1.6985398464020697e-9	-6.4012725206635845e-6	10
0.02754228703338166	18.15390273850507	0.05508457406676332	12	0.0003203250045893723	3.955619586271418e-8	-6.338773459996231e-6	10
0.03311311214825911	15.099758602010079	0.06622622429651823	12	0.00046482849217609396	3.979251569064436e-10	-6.7839338410538135e-6	10
0.039810717055349734	12.559432157547898	0.07962143411069947	12	0.0006750454603673295	2.5737064054671716e-9	-6.5698394020241605e-6	10
0.047863009232263824	10.4464806542702	0.09572601846452765	12	0.000981249958389922	1.2050408656044289e-8	-5.8563013835403915e-6	10
0.057543993733715694	8.689004143746876	0.11508798746743139	12	0.001427940610874063	7.936674707381681e-9	-5.9701962287740715e-6	10
0.06918309709189366	7.227198853729637	0.13836619418378732	12	0.002080738001618089	9.020637099593722e-9	-6.069516316495994e-6	10
0.08317637711026708	6.011322173087065	0.16635275422053417	12	0.003036734788830415	3.3714920332753437e-9	-6.085728486550069e-6	10
0.1	5.	0.2	12	0.0044402341844432544	2.3951085497898047e-9	-6.107355404050763e-6	10
0.12022644346174131	4.1588188555133545	0.24045288692348263	12	0.006506594495610293	1.6409552593227157e-9	-5.767968898084679e-6	10
0.1445439770745928	3.4591548545946815	0.2890879541491856	12	0.0095589055410119	1.3313402001344515e-9	-5.9973332340529576e-6	10
0.17378008287493762	2.8771996866857834	0.34756016574987525	12	0.014084255890678578	3.4350250948716505e-10	-6.230059511568422e-6	10
0.20892961308540386	2.393150461613193	0.41785922617080773	12	0.020820590511383612	7.2867617520863e-10	-5.726442727439455e-6	10
0.25118864315095796	1.9905358527674866	0.5023772863019159	12	0.030889892536222204	3.250454055273914e-10	-5.9776781049008565e-6	10
0.3019951720402016	1.6556556074129556	0.6039903440804032	12	0.04599932627843881	3.4200317805185034e-10	-5.938618879838243e-6	10
0.3630780547701014	1.377114351669083	0.7261561095402028	12	0.06873229597451241	1.3110810536994002e-10	-6.05859687357572e-6	10
0.4365158322401661	1.1454338263838861	0.8730316644803322	12	0.10292900595373727	3.2694377599562516e-10	-5.265803253652234e-6	10
0.5248074602497729	0.9527303589816231	1.0496149204995457	13	0.15405482826645855	6.015105041881808e-11	-6.881985424928314e-6	10
0.6309573444801936	0.7924465962305564	1.2619146889603872	13	0.2291435461784028	3.5256327390887445e-11	-6.624957116239842e-6	10
0.7585775750291835	0.6591283692782037	1.517155150058367	13	0.3351721250188025	3.2606238920512613e-11	-6.304472467646195e-6	10
0.9120108393559097	0.5482390980715925	1.8240216787118193	13	0.4737582014428241	4.7962444787201885e-11	-6.401315519150132e-6	10
1.096478196143185	0.4560054196779548	2.19295639228637	13	0.6314502140354679	2.6553916562315468e-11	-5.936016041244118e-6	10
1.3182567385564075	0.3792887875145918	2.636513477112815	13	0.772567287077301	3.3312124808506265e-11	-5.778834820313248e-6	10
1.584893192461114	0.3154786722400965	3.169786384922228	14	0.8566489619614446	1.1544830079325055e-11	-7.108852401457996e-6	10
1.9054607179632483	0.26240373012488616	3.8109214359264967	14	0.8765987445001657	1.8967160401626718e-11	-6.713899612851386e-6	10
2.2908676527677723	0.21825791612008305	4.5817353055355445	14	0.881591820292587	1.2621348045000958e-11	-6.603037369488545e-6	10
2.7542287033381663	0.18153902738505068	5.5084574066763325	14	0.9671572853539719	1.995218120766656e-11	-6.953669221258767e-6	10
3.311311214825911	0.1509975860201008	6.622622429651822	14	1.2065106593779493	2.0112480910550885e-11	-6.631697122488448e-6	10
3.981071705534973	0.12559432157547898	7.962143411069946	14	1.4271858179471415	1.5316904803638446e-11	-6.26246748809915e-6	10
4.786300923226385	0.10446480654270195	9.57260184645277	15	1.3261877719991104	6.08493551759647e-12	-7.536716683267625e-6	10
5.754399373371572	0.08689004143746873	11.508798746743144	15	1.237778521218474	5.716967448611324e-12	-7.701513419989577e-6	10
6.918309709189363	0.0722719885372964	13.836619418378726	15	1.8401758005047206	1.5401907499546355e-11	-6.787126508297771e-6	10
8.317637711026709	0.06011322173087065	16.635275422053418	15	3.3750892050664323	6.229847728865597e-12	-7.179882138310668e-6	10
